Drink Name,Flavors,Flavors Amount,Cold Foams,Toppings,Add-ins,Espresso & Shot Options,Espresso & Shot Options Amount,Cup Options,Milk,Sweeteners,Sweeteners Amount
White Chocolate Macadamia Cream Cold Brew,Macadamia Syrup pumps,2,White Chocolate Macadamia Cream Cold Foam,Toasted Cookie Crumble Topping,Ice,,,,,,
Cinnamon Caramel Cream Cold Brew,Cinnamon Caramel Syrup pumps,2,Cinnamon Sweet Cream Cold Foam,Cinnamon Dolce Sprinkles,Ice,,,,,,
Salted Caramel Cream Cold Brew,Vanilla Syrup pumps,2,Salted Caramel Cream Cold Foam,,Ice,,,,,,
Chocolate Cream Cold Brew,Vanilla Syrup pumps,2,Chocolate Cream Cold Foam,,Ice,,,,,,
Starbucks® Cold Brew Coffee,,,,,Ice,,,,,,
Vanilla Sweet Cream Cold Brew,Vanilla Syrup pumps,2,,,Ice,,,,,,
Nondairy Salted Caramel Cream Cold Brew,Vanilla Syrup pumps,2,Nondairy Salted Caramel Cream Cold Foam regular,,Ice,,,,,,
Nondairy Vanilla Sweet Cream Cold Brew,Vanilla Syrup pumps,2,,,Ice,,,,,,
Cold Brew with Nondairy Vanilla Sweet Cream Cold Foam,Vanilla Syrup pumps,2,Nondairy Vanilla Sweet Cream Cold Foam regular,,Ice,,,,,,
Nondairy Chocolate Cream Cold Brew,Vanilla Syrup pumps,2,Nondairy Chocolate Cream Cold Foam regular,,Ice,,,,,,
Vanilla Sweet Cream Nitro Cold Brew,,,,,1/2 Inch Splash of Vanilla Sweet Cream,,,,,,
Cinnamon Caramel Cream Nitro Cold Brew,Cinnamon Caramel Syrup pumps,2,Cinnamon Sweet Cream Cold Foam,Cinnamon Dolce Sprinkles,,,,,,,
Nitro Cold Brew,,,,,,,,,,,
Iced Caffè Americano,,,,,Water,Signature Espresso Roast,3,,,,
Caramel Vanilla Swirl Iced Coffee,Caramel Syrup pumps,4,,,1/2 Inch Splash of Vanilla Sweet Cream,,,,,,
Iced Coffee,,,,,Ice,,,,,,
Starbucks® Iced Coffee Blend Clover Vertica™,,,,,Ice,,,,,,
Iced Espresso,,,,,Ice,Signature Espresso Roast,2,Tall Cup,,,
Iced Hazelnut Oatmilk Shaken Espresso,Hazelnut Syrup pumps,2,,,,Blonde Espresso Roast,3,,Oatmilk,,
Iced Brown Sugar Oatmilk Shaken Espresso,Brown Sugar Syrup pumps,4,,Cinnamon Powder,,Blonde Espresso Roast,3,,Oatmilk,,
Oleato Golden Foam™ Iced Shaken Espresso with Toffeenut,Toffeenut Syrup pumps,4,Oleato Golden Foam™,,,Shots,3,,Oatmilk,,
Iced Shaken Espresso,,,,,,Shots,3,,2% Milk,Classic Syrup pumps,4
Iced Flat White,,,,,Ice,Ristretto,2,,Whole Milk,,
Iced Honey Almondmilk Flat White,,,,,Ice,Ristretto,2,,Almond,Honey Blend pumps,3
Iced Starbucks® Blonde Vanilla Latte,Vanilla Syrup pumps,4,,,Ice,Blonde Espresso Roast,2,,2% Milk,,
Iced Caffè Latte,,,,,Ice,Signature Espresso Roast,2,,2% Milk,,
Iced Cinnamon Dolce Latte,Cinnamon Dolce Syrup pumps,4,,Cinnamon Dolce Sprinkles,Ice,Signature Espresso Roast,2,,2% Milk,,
Iced Caramel Macchiato,Vanilla Syrup pumps,3,,Caramel Drizzle,Ice,Shots,2,,2% Milk,,
Iced White Chocolate Mocha,White Chocolate Mocha Sauce pumps,4,,Whipped Cream,Ice,Shots,2,,2% Milk,,
Iced Caffè Mocha,Mocha Sauce pumps,4,,Whipped Cream,Ice,Signature Espresso Roast,2,,2% Milk,,
